Date,Open,High,Low,Close,Adj Close,Volume
1996-07-26,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-07-29,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-07-30,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-07-31,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-01,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-02,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-05,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-06,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-07,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-08,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-09,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-12,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-13,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-14,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-15,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-16,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-19,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-20,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-21,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-22,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-23,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-26,43.799999,43.799999,43.799999,43.799999,33.442818,0
1996-08-27,44.200001,44.200001,44.200001,44.200001,33.748234,0
1996-08-28,44.200001,44.200001,44.200001,44.200001,33.748234,0
1996-08-29,44.200001,44.200001,44.200001,44.200001,33.748234,0
1996-08-30,44.200001,44.200001,44.200001,44.200001,33.748234,0
1996-09-02,44.200001,44.200001,44.200001,44.200001,33.748234,0
1996-09-03,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-04,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-05,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-06,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-09,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-10,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-11,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-12,44.400002,44.400002,44.400002,44.400002,33.900951,0
1996-09-13,46.200001,46.200001,46.200001,46.200001,35.275307,0
1996-09-16,47.500000,47.500000,47.500000,47.500000,36.267902,0
1996-09-17,48.500000,48.500000,48.500000,48.500000,37.031437,0
1996-09-18,48.500000,48.500000,48.500000,48.500000,37.031437,0
